Keyword,Search Volume,CPC,Competition,Keyword Difficulty,Unnamed: 0,cpc,vol,v,competition,score
best email marketing,84.0,7.76,0.7,13.5,,,,,,
how to email marketing,488.0,7.12,0.13,45.5,,,,,,
email marketing free,1295.0,5.87,0.82,44.9,,,,,,
email marketing for beginners,701.0,0.76,0.83,61.8,,,,,,
tools email marketing,145.0,8.74,0.89,75.1,,,,,,
email marketing 2026,896.0,0.59,0.15,66.5,,,,,,
vs email marketing,219.0,3.07,0.37,47.3,,,,,,
email marketing guide,340.0,4.39,0.23,65.3,,,,,,
email marketing tips,911.0,7.52,0.8,39.9,,,,,,
email marketing near me,1490.0,1.43,0.2,5.7,,,,,,
price email marketing,1039.0,6.41,0.78,46.3,,,,,,
software email marketing,267.0,1.21,0.67,47.4,,,,,,
course email marketing,244.0,5.79,0.55,55.3,,,,,,
email marketing examples,239.0,4.04,0.21,41.8,,,,,,
app email marketing,73.0,0.71,0.28,31.4,,,,,,
review email marketing,212.0,7.1,0.66,41.6,,,,,,
checklist email marketing,149.0,0.4,0.09,70.0,,,,,,
email marketing template,199.0,4.61,0.15,67.7,,,,,,
email marketing ideas,348.0,2.85,0.63,37.6,,,,,,
email marketing strategy,55.0,8.66,0.91,68.0,,,,,,
emailing marketing best,2832.0,7.05,0.72,45.4,,,,,,
emailing marketing how to,97.0,8.14,0.46,23.2,,,,,,
emailing marketing free,576.0,1.76,0.86,73.3,,,,,,
for beginners emailing marketing,571.0,5.72,0.58,63.5,,,,,,
emailing marketing tools,527.0,0.57,0.49,34.7,,,,,,
emailing marketing 2026,3622.0,5.37,0.17,88.3,,,,,,
vs emailing marketing,51.0,5.4,0.02,91.3,,,,,,
emailing marketing guide,645.0,0.93,0.49,49.2,,,,,,
tips emailing marketing,91.0,4.37,0.27,34.8,,,,,,
near me emailing marketing,161.0,0.39,0.83,85.7,,,,,,
emailing marketing price,85.0,1.16,0.67,30.3,,,,,,
software emailing marketing,5720.0,6.96,0.11,87.4,,,,,,
emailing marketing course,94.0,5.08,0.37,79.7,,,,,,
examples emailing marketing,104.0,8.59,0.29,51.4,,,,,,
emailing marketing app,151.0,1.65,0.04,44.2,,,,,,
review emailing marketing,522.0,6.79,0.89,85.4,,,,,,
checklist emailing marketing,2861.0,6.99,0.66,38.6,,,,,,
emailing marketing template,4038.0,2.51,0.94,26.7,,,,,,
emailing marketing ideas,5353.0,1.55,0.18,58.9,,,,,,
strategy emailing marketing,3321.0,2.93,0.78,92.5,,,,,,
best marketing emails,315.0,0.32,0.23,16.9,,,,,,
how to marketing emails,18.0,4.66,0.69,57.3,,,,,,
marketing emails free,244.0,6.5,0.74,16.8,,,,,,
marketing emails for beginners,839.0,3.7,0.3,49.0,,,,,,
tools marketing emails,2999.0,2.72,0.92,7.2,,,,,,
2026 marketing emails,525.0,1.13,0.14,42.7,,,,,,
vs marketing emails,6736.0,8.41,0.8,47.1,,,,,,
guide marketing emails,647.0,1.16,0.83,76.7,,,,,,
marketing emails tips,316.0,5.53,0.87,59.3,,,,,,
marketing emails near me,108.0,5.94,0.87,45.9,,,,,,
marketing emails price,58.0,6.76,0.82,14.5,,,,,,
marketing emails software,232.0,1.49,0.82,32.9,,,,,,
marketing emails course,1294.0,1.66,0.28,18.8,,,,,,
marketing emails examples,282.0,0.69,0.17,9.8,,,,,,
app marketing emails,1842.0,3.66,0.32,50.4,,,,,,
review marketing emails,136.0,0.58,0.18,26.3,,,,,,
marketing emails checklist,4272.0,3.86,0.05,38.6,,,,,,
template marketing emails,76.0,7.53,0.05,88.2,,,,,,
marketing emails ideas,1621.0,8.14,0.98,77.2,,,,,,
