keyword,volume,cpc,competition,difficulty,word_count,char_count,is_long_tail,has_number,has_question_word,intent,opportunity_score,cluster,cluster_label
best email marketing,84.0,0.755,,9.444444444444445,3,20,0,0,0,Commercial,37.17892155602278,1,"marketing, email marketing, email"
how to email marketing,488.0,0.755,,45.0,4,22,1,0,1,Informational,23.210054407173192,1,"marketing, email marketing, email"
email marketing free,1295.0,0.755,,44.33333333333333,3,20,0,0,0,Navigational,23.982804104066865,3,"tools, marketing tools, free"
email marketing for beginners,701.0,0.755,,63.11111111111111,4,29,1,0,0,Navigational,16.099185781115803,1,"marketing, email marketing, email"
tools email marketing,145.0,0.755,,77.88888888888889,3,21,0,0,0,Navigational,9.839397885858201,3,"tools, marketing tools, free"
email marketing 2026,896.0,0.755,,68.33333333333333,3,20,0,1,0,Navigational,14.132584613285484,1,"marketing, email marketing, email"
vs email marketing,219.0,0.755,,47.0,3,18,0,0,0,Commercial,22.241360063764187,0,"vs, sample, marketing sample"
email marketing guide,340.0,0.755,,67.0,3,21,0,0,0,Informational,14.317241162472321,1,"marketing, email marketing, email"
email marketing tips,911.0,0.755,,38.77777777777778,3,20,0,0,0,Informational,25.96421358328144,1,"marketing, email marketing, email"
email marketing near me,1490.0,0.755,,0.777777777777778,4,23,1,0,0,Commercial,41.52731404734766,1,"marketing, email marketing, email"
price email marketing,1039.0,0.755,,45.888888888888886,3,21,0,0,0,Commercial,23.200040053172877,1,"marketing, email marketing, email"
software email marketing,267.0,0.755,,47.11111111111111,3,24,0,0,0,Navigational,22.2270172121957,7,"software, marketing software, strategy"
course email marketing,244.0,0.755,,55.888888888888886,3,22,0,0,0,Navigational,18.701482421164858,2,"course, marketing course, email marketing"
email marketing examples,239.0,0.755,,40.888888888888886,3,24,0,0,0,Informational,24.698346838573613,1,"marketing, email marketing, email"
app email marketing,73.0,0.755,,29.333333333333332,3,19,0,0,0,Navigational,29.216467718766488,1,"marketing, email marketing, email"
review email marketing,212.0,0.755,,40.666666666666664,3,22,0,0,0,Commercial,24.77030358146978,1,"marketing, email marketing, email"
checklist email marketing,149.0,0.755,,72.22222222222221,3,25,0,0,0,Navigational,12.108573018597866,1,"marketing, email marketing, email"
email marketing template,199.0,0.755,,69.66666666666667,3,24,0,0,0,Navigational,13.162151066732534,1,"marketing, email marketing, email"
email marketing ideas,348.0,0.755,,36.22222222222222,3,21,0,0,0,Navigational,26.63336920572943,1,"marketing, email marketing, email"
email marketing strategy,55.0,0.755,,70.0,3,24,0,0,0,Navigational,12.938512954771339,7,"software, marketing software, strategy"
emailing marketing best,2832.0,0.755,,44.888888888888886,3,23,0,0,0,Commercial,24.724459970393482,1,"marketing, email marketing, email"
emailing marketing how to,97.0,0.755,,20.22222222222222,4,25,1,0,1,Informational,32.87596295964891,1,"marketing, email marketing, email"
emailing marketing free,576.0,0.755,,75.88888888888889,3,23,0,0,0,Navigational,10.909685105223554,1,"marketing, email marketing, email"
for beginners emailing marketing,571.0,0.755,,65.0,4,32,1,0,0,Navigational,15.262105078187863,1,"marketing, email marketing, email"
emailing marketing tools,527.0,0.755,,33.0,3,24,0,0,0,Navigational,28.034511951384893,3,"tools, marketing tools, free"
emailing marketing 2026,3622.0,0.755,,92.55555555555556,3,23,0,1,0,Navigational,6.1532153531435885,1,"marketing, email marketing, email"
vs emailing marketing,51.0,0.755,,95.88888888888889,3,21,0,0,0,Commercial,2.580448933142783,0,"vs, sample, marketing sample"
emailing marketing guide,645.0,0.755,,49.111111111111114,3,24,0,0,0,Informational,21.66406725609385,1,"marketing, email marketing, email"
tips emailing marketing,91.0,0.755,,33.11111111111111,3,23,0,0,0,Informational,27.716644704983857,1,"marketing, email marketing, email"
near me emailing marketing,161.0,0.755,,89.66666666666667,4,26,1,0,0,Commercial,5.138320639039069,1,"marketing, email marketing, email"
